,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
22,Fallen Arches,tt0417373,tt0845936,2,8,8.5,166,2006-09-03,2006,"
    Dr. Orpheus is awarded an official ""Guild of Calamitous Intent"" arch villain. He assembles his team of three and auditions his prospective villain at the Venture compound.    ",The Venture Bros.,Fallen Arches
23,Guess Who's Coming to State Dinner?,tt0417373,tt0847451,2,9,7.7,173,2006-09-10,2006,"
    Gargantuan 1 crashes and Col. Bud Manstrong survives and hailed as a national hero. He and the Ventures are then honored at the White House. But the ghost of Abraham Lincoln appears suspecting an attempt will be made to assassinate the President.    ",The Venture Bros.,Guess Who's Coming to State Dinner?
24,I Know Why the Caged Bird Kills,tt0417373,tt0847452,2,10,8.4,162,2006-09-24,2006,"
    The boys are kidnapped by a woman claiming to be their mother. Dr. Orpheus helps Dr. Venture get rid of a Japanese demon that is tied to him.    ",The Venture Bros.,I Know Why the Caged Bird Kills
25,¡Viva los muertos!,tt0417373,tt0847454,2,11,8.7,201,2006-10-01,2006,"
    While Dr. Venture constructs his Venturestien Monster, Brock has an existential crisis and a parody ""Scooby Gang"" arrives, looking to solve a ""Mystery"". Hilarity, violence, tripping on some vine juice, and a general pissing on Scooby Doo.    ",The Venture Bros.,¡Viva los muertos!
26,Showdown at Cremation Creek: Part 1,tt0417373,tt0847453,2,12,8.8,192,2006-10-08,2006,"
    The Monarch proposes to Dr. Girlfriend. Thanks to the hasty actions of the Henchmen, the entire Venture family finds themselves participating in the wedding. Phantom Limb crashes the party, threatening to destroy everyone unless the wedding is called off.    ",The Venture Bros.,Showdown at Cremation Creek: Part 1
27,Showdown at Cremation Creek: Part 2,tt0417373,tt0878792,2,13,9.2,220,2006-10-15,2006,"
    The second part of the season finale. Battle begins between Phantom Limb and the Monarch wedding party. Brock takes charge of the Henchmen in an effort to rescue Dr. Girlfriend.    ",The Venture Bros.,Showdown at Cremation Creek: Part 2
28,Shadowman 9: In the Cradle of Destiny,tt0417373,tt1238620,3,1,8.7,169,2008-06-01,2008,"
    The truths and half-truths about Dr. Venture's former arch nemeses are finally revealed    ",The Venture Bros.,Shadowman 9: In the Cradle of Destiny
29,The Doctor Is Sin,tt0417373,tt1238621,3,2,8.5,153,2008-06-08,2008,"
    Dr. Venture learns that a life with no arch enemy is not nearly so sweet    ",The Venture Bros.,The Doctor Is Sin
30,The Invisible Hand of Fate,tt0417373,tt1238613,3,3,8.7,152,2008-06-15,2008,"
    At long last, The Venture Bros. peels away the onion-like shrouds of time for a look back into the troubled past of America's most beloved hydrocephalic former boy genius, to reveal dark secrets that even he didn't know about.    ",The Venture Bros.,The Invisible Hand of Fate
31,Home Is Where the Hate Is,tt0417373,tt1238614,3,4,8.2,140,2008-06-22,2008,"
    Dr. Venture receives an unorthodox introduction to his new Guild-assigned nemesis    ",The Venture Bros.,Home Is Where the Hate Is
32,The Buddy System,tt0417373,tt1238615,3,5,8.7,149,2008-06-29,2008,"
    Dr. Venture, in a bid to make some much-needed money, opens up the compound as ""Rusty's Day Camp for Boy Adventurers.""    ",The Venture Bros.,The Buddy System
33,"Dr. Quymn, Medicine Woman",tt0417373,tt1238616,3,6,8.2,147,2008-07-06,2008,"
    Love is in the air, kind of, when Dr. Venture encounters his childhood friend, Dr. Tara Quymn, in the Amazon Rain Forest.    ",The Venture Bros.,"Dr. Quymn, Medicine Woman"
34,What Goes Down Must Come Up,tt0417373,tt1238617,3,7,8.3,138,2008-07-13,2008,"
    Ventures are about to learn the hard way that beneath the foundations of the Venture Compound lie deep, dark secrets.    ",The Venture Bros.,What Goes Down Must Come Up
35,Tears of a Sea Cow,tt0417373,tt1238618,3,8,8.4,140,2008-07-20,2008,"
    The Monarch seeks to re-spark his old hatred by secretly visiting the Venture Compound    ",The Venture Bros.,Tears of a Sea Cow
36,Now Museum - Now You Don't!,tt0417373,tt1238619,3,9,8.4,131,2008-07-27,2008,"
    Jonas Jr. converts Spider Skull Island into a Team Venture Museum.    ",The Venture Bros.,Now Museum - Now You Don't!
37,The Lepidopterists,tt0417373,tt1238609,3,10,8.7,143,2008-08-03,2008,"
    The Monarch launches his first attack on his new arch nemesis, the other Dr. Venture.    ",The Venture Bros.,The Lepidopterists
38,ORB,tt0417373,tt1238610,3,11,8.4,138,2008-08-10,2008,"
    Brock discovers that his long-standing role as Dr. Venture's bodyguard may not have been the assignment he always thought it was.    ",The Venture Bros.,ORB
39,"The Family That Slays Together, Stays Together: Part 1",tt0417373,tt1238611,3,12,9.0,149,2008-08-17,2008,"
    Brock Samson is a marked man.    ",The Venture Bros.,"The Family That Slays Together, Stays Together: Part 1"
40,"The Family That Slays Together, Stays Together: Part 2",tt0417373,tt1238612,3,13,9.2,146,2008-08-24,2008,"
    Heads will fly as the explosive conclusion of The Venture Bros. two-part season finale finds Brock and the Venture family on the run from the Law, The Monarch, Sgt. Hatred and the entire O.S.I!    ",The Venture Bros.,"The Family That Slays Together, Stays Together: Part 2"
41,"Blood of the Father, Heart of Steel",tt0417373,tt1531880,4,1,8.7,138,2009-10-18,2009,"
    Questions are answered and truths are revealed.    ",The Venture Bros.,"Blood of the Father, Heart of Steel"
42,Handsome Ransom,tt0417373,tt1539264,4,2,8.8,140,2009-10-25,2009,"
    The Monarch attempts to strike Dr Venture where it hurts, by kidnapping Hank & Dean and holding them for a $10M ransom. The plan is foiled when rainbow hero Captain Sunshine arrives to rescues Hank, making him his new sidekick, Wonder Boy.    ",The Venture Bros.,Handsome Ransom
43,Perchance to Dean,tt0417373,tt1541106,4,3,8.2,124,2009-11-01,2009,"
    Hank, along with is friend, Dermott, start breaking all of the Venture Compound Rules in a bid to get his father's attention.    ",The Venture Bros.,Perchance to Dean
44,Return to Malice,tt0417373,tt1560460,4,4,8.3,115,2009-11-08,2009,"
    Henchman 21, determined to find out who murdered his friend, Henchman 24, kidnaps Hank and Dean and subjects them to the dreaded Chinese water torture. Meanwhile, the Monarch eats a fancy salad and has a reaction to one of the ingredients.    ",The Venture Bros.,Return to Malice
45,The Revenge Society,tt0417373,tt1550277,4,5,8.3,116,2009-11-15,2009,"
    The Guild of Calamitous Intent comes under attack from an old foe with a new name, Revenge.    ",The Venture Bros.,The Revenge Society
46,Self-Medication,tt0417373,tt1554061,4,6,8.6,129,2009-11-22,2009,"
    Dr. Venture's therapy group, a collection of former Boy Adventurers (who have become failed adults), quickly fall back into their old habits when a mystery is literally dropped into their session.    ",The Venture Bros.,Self-Medication
47,The Better Man,tt0417373,tt1568069,4,7,8.4,111,2009-12-06,2009,"
    The Orpheus Family is caught between the problems of their past and future as Dr. Orpheus must rescue the man he hates the most from Hell and Triana stands at the crossroads of her destiny.    ",The Venture Bros.,The Better Man
48,Pinstripes and Poltergeists,tt0417373,tt1573782,4,8,8.6,110,2009-12-13,2009,"
    The Monarch makes his move on Dr. Venture, just as he's distracted by problems with zoning regulations.    ",The Venture Bros.,Pinstripes and Poltergeists
49,The Diving Bell vs. the Butterglider,tt0417373,tt1589919,4,9,8.6,118,2010-09-12,2010,"
    The semi-season opener finds Dr. Venture semi-paralyzed in a trauma-induced coma.    ",The Venture Bros.,The Diving Bell vs. the Butterglider
50,Pomp and Circuitry,tt0417373,tt1730658,4,10,8.1,105,2010-09-19,2010,"
    Hank and Dean finally graduate from their learning beds. But what's next? College? The army? Life on the outside sees the boys taking two very different career paths -- and one of them leads straight to the Phantom Limb.    ",The Venture Bros.,Pomp and Circuitry
51,Every Which Way But Zeus,tt0417373,tt1738335,4,11,8.4,105,2010-09-26,2010,"
    Somebody has been kidnapping the world's super-scientists and super-villains. But whom? And to what end? The OSI, SPHINX, The Guild of Calamitous Intent and The Revenge Society must put aside their differences and convene a secret think tank to solve a mystery of epic proportions.    ",The Venture Bros.,Every Which Way But Zeus
52,Everybody Comes to Hank's,tt0417373,tt1738336,4,12,9.1,132,2010-10-03,2010,"
    With Dean off to New York for a summer internship, Hank is forced by his father to get a job.    ",The Venture Bros.,Everybody Comes to Hank's
53,"Bright Lights, Dean City",tt0417373,tt1742609,4,13,8.6,120,2010-10-10,2010,"
    Dean's summer internship in New York City turns deadly when he learns his new employer harbors a dark secret. Meanwhile, Doc's newfound love of show tunes makes him an easy target for the newly re-formed Revenge Society.    ",The Venture Bros.,"Bright Lights, Dean City"
54,Assisted Suicide,tt0417373,tt1747772,4,14,8.4,107,2010-10-17,2010,"
    Dr. Venture isn't feeling himself lately...he's killing himself. Orpheus suspects it's an inside job and pries the Venture family from their touch football game to help him teach Doc the value of self-love.    ",The Venture Bros.,Assisted Suicide
55,The Silent Partners,tt0417373,tt1752777,4,15,8.2,106,2010-10-24,2010,"
    The men of Conjectural Technologies learn that success comes with a price when Billy is kidnapped by the mysterious and extra-creepy investors behind their recent windfall. But who is behind the investors? SPHINX would like to know.    ",The Venture Bros.,The Silent Partners
56,Operation P.R.O.M.,tt0417373,tt1772101,4,16,9.5,192,2010-11-21,2010,"
    The Venture boys embrace society's most feared school dance in this hour long danger-pile. Will they live to look back at their rented suits with horror?    ",The Venture Bros.,Operation P.R.O.M.
57,From the Ladle to the Grave: The Shallow Gravy Story,tt0417373,tt2035364,4,17,8.0,91,2011-08-28,2011,"
    See the Venture Family as you've never seen them before: in an 11 minute documentary-style animated UNCENSORED special. Follow the meteoric rise, the equally meteoric fall, and the decidedly un-meteor-like second coming of the most important band Hank Venture, Dermott Fictel and H.E.L.P.eR. robot have ever been in--Shallow Gravy. If you're hungry for rock, then open wide--because here comes a ladle of heavy metal fire and metaphoric meat drippings!    ",The Venture Bros.,From the Ladle to the Grave: The Shallow Gravy Story
58,A Very Venture Halloween,tt0417373,tt2423804,5,0,8.8,145,2012-10-28,2012,"
    Halloween Special of The Venture Bros.    ",The Venture Bros.,A Very Venture Halloween
59,What Color Is Your Cleansuit?,tt0417373,tt2951250,5,1,8.8,161,2013-06-02,2013,"
    Dr. Venture hires an army of college interns to help with his ambitious new science project. Dean finds love among the new recruits, but class warfare and nuclear physics threaten to tear the Venture Compound apart. And if they don't, The Monarch will.    ",The Venture Bros.,What Color Is Your Cleansuit?
60,Venture Libre,tt0417373,tt2951252,5,2,8.5,121,2013-06-09,2013,"
    One of Dr. Venture's old inventions seems to have gotten a mind of its own, so General Manhowers sends him to Central America to fix it. The Ventures must all confront their own hearts of darkness if they're to survive what's waiting for them in the jungle.    ",The Venture Bros.,Venture Libre
61,Sphinx Rising,tt0417373,tt2959752,5,3,8.2,117,2013-06-16,2013,"
    Henchman 21's command of Team SPHINX is starting to rub the O.S.I. the wrong way, and his new recruits are rubbing them even wronger.    ",The Venture Bros.,Sphinx Rising
62,Spanakopita,tt0417373,tt2973986,5,4,8.1,113,2013-06-23,2013,"
    Every year, since he was a little boy, Dr. Venture flies to the tiny island of Spanikos for a week of fun in the Grecian sun.    ",The Venture Bros.,Spanakopita
63,O.S.I. Love You,tt0417373,tt2991116,5,5,8.9,128,2013-06-30,2013,"
    Brock and the O.S.I. come under fire from the higher ups when they lose two high value super-criminal prisoners.    ",The Venture Bros.,O.S.I. Love You
64,Momma's Boys,tt0417373,tt3016486,5,6,8.1,107,2013-07-07,2013,"
    A friendship built on lies threatens to unravel Dr. Venture's sanity.    ",The Venture Bros.,Momma's Boys
65,Bot Seeks Bot,tt0417373,tt3024226,5,7,8.5,108,2013-07-13,2013,"
    Brock and the O.S.I. launch a bold and bizarre surveillance mission against one of the Council of 13's top members.    ",The Venture Bros.,Bot Seeks Bot
66,The Devil's Grip,tt0417373,tt3040042,5,8,8.5,112,2013-07-21,2013,"
    Dr. Venture is missing... presumed dead.    ",The Venture Bros.,The Devil's Grip
67,All This and Gargantua-2,tt0417373,tt4334430,6,0,9.4,247,2015-01-19,2015,"
    Join the Ventures-and pretty much everyone they've ever crossed paths with-as they rocket to the Gargantua-2 space station for an epic adventure that will change the Ventureverse as we know it.    ",The Venture Bros.,All This and Gargantua-2
68,Hostile Makeover,tt0417373,tt5024698,6,1,8.8,129,2016-01-31,2016,"
    The Ventures are back! And they're movin' on up to a deluxe apartment in the sky. But will mo' money bring mo' problems? And can The Monarch handle the commute?    ",The Venture Bros.,Hostile Makeover
69,Maybe No Go,tt0417373,tt5218230,6,2,8.2,109,2016-02-07,2016,"
    As White & Billy grapple with their arch enemy back in the old 'hood, Doc realizes he can't face his new responsibilities alone when a whale of an enemy shows him how they arch uptown.    ",The Venture Bros.,Maybe No Go
70,Faking Miracles,tt0417373,tt5218240,6,3,8.8,104,2016-02-14,2016,"
    Doc discovers a mysterious invention that could make or break Dean's chances of getting into college, while The Monarch makes a bad first impression on Dr. Mrs. The Monarch's co-workers.    ",The Venture Bros.,Faking Miracles
71,Rapacity in Blue,tt0417373,tt5218252,6,4,8.8,101,2016-02-21,2016,"
    A brutish supervillain launches an assault on the Ventures. Will Doc's latest invention, or a mysterious blue vigilante, save the day? Probably not.    ",The Venture Bros.,Rapacity in Blue
72,Tanks for Nuthin',tt0417373,tt5218278,6,5,8.9,97,2016-02-28,2016,"
    Billy and Dr. Venture are the laughing stock of the internet. Meanwhile the death of a G.U.I.L.D. member has Dr. Mrs. The Monarch investigating who this new blue vigilante truly is.    ",The Venture Bros.,Tanks for Nuthin'
73,It Happening One Night,tt0417373,tt5218290,6,6,8.9,102,2016-03-06,2016,"
    A legion of avant-garde supervillains redefines the art of arching Dr. Venture while Hank looks for love in a den of ninjas.    ",The Venture Bros.,It Happening One Night
74,A Party for Tarzan,tt0417373,tt5321340,6,7,9.1,110,2016-03-13,2016,"
    In a case of mistaken identity, the Guild targets Dr. Venture for assassination, pooping his party for a fancy new friend.    ",The Venture Bros.,A Party for Tarzan
75,Red Means Stop,tt0417373,tt5321386,6,8,9.2,115,2016-03-20,2016,"
    The Guild of Calamitous Intent sets a trap for Blue Morpho with a notorious villain as the bait. Meanwhile, two battered men struggle to escape from their mysterious imprisonment.    ",The Venture Bros.,Red Means Stop
76,The Venture Bros. and the Curse of the Haunted Problem,tt0417373,tt7525428,7,1,9.1,97,2018-08-05,2018,"
    The past is haunting the Venture building, literally. Can a good exorcism fix everything? Meanwhile, Hank is pressured by goons to break off his relationship with their mobster boss' daughter.    ",The Venture Bros.,The Venture Bros. and the Curse of the Haunted Problem
77,The Rorqual Affair,tt0417373,tt8781016,7,2,9.2,81,2018-08-12,2018,"
    Deadly waters surround the Monarch when he becomes Wide Wale's prisoner in Part 2 of the Morphic Trilogy.    ",The Venture Bros.,The Rorqual Affair
78,Arrears in Science,tt0417373,tt8842110,7,3,9.5,97,2018-08-19,2018,"
    The Morphic Trilogy reaches its stunning conclusion in a decades-spanning tale of friendship, betrayal, and mass murder that overwrites Venture history.    ",The Venture Bros.,Arrears in Science
79,The High Cost of Loathing,tt0417373,tt8842114,7,4,8.9,66,2018-08-26,2018,"
    The Monarch faces financial challenges as he attempts to rebuild his fiendish organization, while Dean attempts to build a normal life out of his father's shadow at college.    ",The Venture Bros.,The High Cost of Loathing
80,The Inamorata Consequence,tt0417373,tt8842118,7,5,8.9,62,2018-09-02,2018,"
    Dr. Venture moderates the second annual Treaty of Tolerance Summit (at the old Venture compound) where the Guild of Calamitous Intent and the O.S.I. argue over new agreements. Meanwhile, both Dean and Hank go on side adventures around the compound.    ",The Venture Bros.,The Inamorata Consequence
81,The Bellicose Proxy,tt0417373,tt8972942,7,6,8.7,56,2018-09-09,2018,"
    Monarch and 21 train their first arch as part of their induction into the Guild; Dr. Mrs. the Monarch deals with the mole.    ",The Venture Bros.,The Bellicose Proxy
82,The Unicorn in Captivity,tt0417373,tt8980674,7,7,9.3,68,2018-09-16,2018,"
    Dr. Venture's latest invention is a real game-changer. And the new game is deadly!    ",The Venture Bros.,The Unicorn in Captivity
83,The Terminus Mandate,tt0417373,tt8980676,7,8,8.6,51,2018-09-23,2018,"
    Mrs. Monarch finds out from the Guild Council charter that they must either retire as villains, and commit one last arch each, or leave the Guild Council. Dr. Venture tries to get laid by a black widower.    ",The Venture Bros.,The Terminus Mandate
84,The Forecast Manufacturer,tt0417373,tt9035294,7,9,8.6,46,2018-09-30,2018,"
    On behalf the Guild, Mr. and Mrs. Monarch and 21 go to take out the PP leader. Dr. Venture and Billy go investigate a stolen Guild weather machine. Hank goes out to rescue his girlfriend.    ",The Venture Bros.,The Forecast Manufacturer
85,The Saphrax Protocol,tt0417373,tt9035298,7,10,9.2,41,2018-10-07,2018,"
    Deep inside Guild Headquarters, The Monarch and 21 face their ultimate ordeal. Meanwhile, the Venture Brothers face one of their own.    ",The Venture Bros.,The Saphrax Protocol
