episode_id,series_id,seasonNumber,episodeNumber,titleType_episode,primaryTitle_episode,originalTitle_episode,isAdult_episode,startYear_episode,endYear_episode,runtimeMinutes_episode,genres_episode,averageRating,numVotes,titleType_series,primaryTitle_series,originalTitle_series,isAdult_series,startYear_series,endYear_series,runtimeMinutes_series,genres_series
tt0768556,tt0096697,3,12,tvEpisode,I Married Marge,I Married Marge,0,1991,,30,"Animation,Comedy",8.3,1735,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0768557,tt0096697,3,14,tvEpisode,Lisa the Greek,Lisa the Greek,0,1992,,30,"Animation,Comedy",8,1671,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0768558,tt0096697,3,9,tvEpisode,Saturdays of Thunder,Saturdays of Thunder,0,1991,,30,"Animation,Comedy",8,1691,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0769411,tt0096697,10,8,tvEpisode,Homer Simpson in: 'Kidney Trouble',Homer Simpson in: 'Kidney Trouble',0,1998,,30,"Animation,Comedy",7.3,1249,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0769412,tt0096697,10,7,tvEpisode,Lisa Gets an 'A',Lisa Gets an 'A',0,1998,,30,"Animation,Comedy",8.1,1322,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0769743,tt0096697,3,11,tvEpisode,Burns Verkaufen der Kraftwerk,Burns Verkaufen der Kraftwerk,0,1991,,30,"Animation,Comedy",8.3,1819,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0772625,tt0096697,4,11,tvEpisode,Homer's Triple Bypass,Homer's Triple Bypass,0,1992,,30,"Animation,Comedy",8.7,2008,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0773645,tt0096697,5,3,tvEpisode,Homer Goes to College,Homer Goes to College,0,1993,,30,"Animation,Comedy",8.6,2077,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0773646,tt0096697,5,16,tvEpisode,Homer Loves Flanders,Homer Loves Flanders,0,1994,,30,"Animation,Comedy",8.6,1720,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0773647,tt0096697,4,3,tvEpisode,Homer the Heretic,Homer the Heretic,0,1992,,30,"Animation,Comedy",9,2452,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0773648,tt0096697,4,15,tvEpisode,I Love Lisa,I Love Lisa,0,1993,,30,"Animation,Comedy",8.4,1831,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767446,tt0096697,11,16,tvEpisode,Pygmoelian,Pygmoelian,0,2000,,30,"Animation,Comedy",7.3,1070,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0773649,tt0096697,17,12,tvEpisode,My Fair Laddy,My Fair Laddy,0,2006,,30,"Animation,Comedy",6.5,879,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763038,tt0096697,13,14,tvEpisode,Tales from the Public Domain,Tales from the Public Domain,0,2002,,30,"Animation,Comedy",7.3,942,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763036,tt0096697,16,7,tvEpisode,Mommie Beerest,Mommie Beerest,0,2005,,30,"Animation,Comedy",6.9,797,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt9652758,tt0096697,30,19,tvEpisode,Episode #30.19,Episode #30.19,0,2019,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0756398,tt0096697,1,8,tvEpisode,The Telltale Head,The Telltale Head,0,1990,,30,"Animation,Comedy",7.8,2264,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0756399,tt0096697,1,4,tvEpisode,There's No Disgrace Like Home,There's No Disgrace Like Home,0,1990,,30,"Animation,Comedy",7.8,2419,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0756593,tt0096697,1,2,tvEpisode,Bart the Genius,Bart the Genius,0,1990,,30,"Animation,Comedy",7.8,2797,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757016,tt0096697,6,13,tvEpisode,And Maggie Makes Three,And Maggie Makes Three,0,1995,,30,"Animation,Comedy",8.7,1910,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757017,tt0096697,2,10,tvEpisode,Bart Gets Hit by a Car,Bart Gets Hit by a Car,0,1991,,23,"Animation,Comedy",7.8,1944,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757018,tt0096697,6,24,tvEpisode,Lemon of Troy,Lemon of Troy,0,1995,,30,"Animation,Comedy",8.7,1877,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757019,tt0096697,17,5,tvEpisode,Marge's Son Poisoning,Marge's Son Poisoning,0,2005,,30,"Animation,Comedy",7,858,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757020,tt0096697,17,3,tvEpisode,Milhouse of Sand and Fog,Milhouse of Sand and Fog,0,2005,,30,"Animation,Comedy",7.1,838,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757021,tt0096697,8,13,tvEpisode,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,0,1997,,30,"Animation,Comedy",7.7,1544,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757022,tt0096697,16,10,tvEpisode,There's Something About Marrying,There's Something About Marrying,0,2005,,30,"Animation,Comedy",6.9,872,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0757023,tt0096697,2,4,tvEpisode,Two Cars in Every Garage and Three Eyes on Every Fish,Two Cars in Every Garage and Three Eyes on Every Fish,0,1990,,23,"Animation,Comedy",8.1,2092,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0758368,tt0096697,4,5,tvEpisode,Treehouse of Horror III,Treehouse of Horror III,0,1992,,30,"Animation,Comedy",8.5,1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0758509,tt0096697,17,11,tvEpisode,We're on the Road to D'ohwhere,We're on the Road to D'ohwhere,0,2006,,30,"Animation,Comedy",7.1,814,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763037,tt0096697,9,25,tvEpisode,Natural Born Kissers,Natural Born Kissers,0,1998,,30,"Animation,Comedy",8.1,1319,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0759267,tt0096697,3,7,tvEpisode,Treehouse of Horror II,Treehouse of Horror II,0,1991,,30,"Animation,Comedy",8.3,1977,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0762498,tt0096697,12,8,tvEpisode,Skinner's Sense of Snow,Skinner's Sense of Snow,0,2000,,30,"Animation,Comedy",8.1,1237,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763023,tt0096697,8,5,tvEpisode,Bart After Dark,Bart After Dark,0,1996,,30,"Animation,Comedy",8.3,1587,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763024,tt0096697,2,1,tvEpisode,Bart Gets an F,Bart Gets an F,0,1990,,30,"Animation,Comedy",8.2,2378,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763025,tt0096697,7,4,tvEpisode,Bart Sells His Soul,Bart Sells His Soul,0,1995,,30,"Animation,Comedy",8.8,1963,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763026,tt0096697,6,1,tvEpisode,Bart of Darkness,Bart of Darkness,0,1994,,30,"Animation,Comedy",8.7,1947,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763027,tt0096697,15,21,tvEpisode,Bart-Mangled Banner,Bart-Mangled Banner,0,2004,,30,"Animation,Comedy",6.3,895,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763028,tt0096697,13,15,tvEpisode,Blame It on Lisa,Blame It on Lisa,0,2002,,30,"Animation,Comedy",7.1,971,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763029,tt0096697,4,16,tvEpisode,Duffless,Duffless,0,1993,,30,"Animation,Comedy",8.4,1731,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763030,tt0096697,15,22,tvEpisode,Fraudcast News,Fraudcast News,0,2004,,30,"Animation,Comedy",7.3,840,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763031,tt0096697,12,5,tvEpisode,Homer vs. Dignity,Homer vs. Dignity,0,2000,,30,"Animation,Comedy",7.2,1119,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763032,tt0096697,15,9,tvEpisode,"I, (Annoyed Grunt)-Bot","I, (Annoyed Grunt)-Bot",0,2004,,30,"Animation,Comedy",7.4,939,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763033,tt0096697,5,21,tvEpisode,Lady Bouvier's Lover,Lady Bouvier's Lover,0,1994,,30,"Animation,Comedy",7.6,1450,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763034,tt0096697,15,8,tvEpisode,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays","Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",0,2004,,30,"Animation,Comedy",6.8,861,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763035,tt0096697,16,13,tvEpisode,Mobile Homer,Mobile Homer,0,2005,,30,"Animation,Comedy",6.9,806,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0762497,tt0096697,12,9,tvEpisode,HOMR,HOMR,0,2001,,30,"Animation,Comedy",8.1,1286,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0701298,tt0096697,8,2,tvEpisode,You Only Move Twice,You Only Move Twice,0,1996,,30,"Animation,Comedy",9.2,3395,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0773650,tt0096697,4,13,tvEpisode,Selma's Choice,Selma's Choice,0,1993,,30,"Animation,Comedy",8.1,1682,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0774432,tt0096697,7,23,tvEpisode,Much Apu About Nothing,Much Apu About Nothing,0,1996,,30,"Animation,Comedy",8.1,1402,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0781979,tt0096697,10,17,tvEpisode,Maximum Homerdrive,Maximum Homerdrive,0,1999,,30,"Animation,Comedy",7.8,1228,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0781980,tt0096697,10,18,tvEpisode,Simpsons Bible Stories,Simpsons Bible Stories,0,1999,,30,"Animation,Comedy",7.4,1241,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0782576,tt0096697,17,9,tvEpisode,Simpsons Christmas Stories,Simpsons Christmas Stories,0,2005,,30,"Animation,Comedy",7,841,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0784101,tt0096697,15,18,tvEpisode,Catch 'Em If You Can,Catch 'Em If You Can,0,2004,,30,"Animation,Comedy",7.1,905,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0784540,tt0096697,15,11,tvEpisode,Margical History Tour,Margical History Tour,0,2004,,30,"Animation,Comedy",7.2,870,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0784541,tt0096697,16,6,tvEpisode,Midnight Rx,Midnight Rx,0,2005,,30,"Animation,Comedy",7.1,839,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0784542,tt0096697,17,6,tvEpisode,See Homer Run,See Homer Run,0,2005,,30,"Animation,Comedy",7,830,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0784543,tt0096697,16,3,tvEpisode,Sleeping with the Enemy,Sleeping with the Enemy,0,2004,,30,"Animation,Comedy",7.2,876,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0784544,tt0096697,14,21,tvEpisode,The Bart of War,The Bart of War,0,2003,,30,"Animation,Comedy",6.8,878,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0784545,tt0096697,15,20,tvEpisode,The Way We Weren't,The Way We Weren't,0,2004,,30,"Animation,Comedy",7.3,898,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0787753,tt0096697,17,16,tvEpisode,Million Dollar Abie,Million Dollar Abie,0,2006,,30,"Animation,Comedy",6.6,843,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0789632,tt0096697,15,7,tvEpisode,'Tis the Fifteenth Season,'Tis the Fifteenth Season,0,2003,,30,"Animation,Comedy",7.2,893,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0793253,tt0096697,14,15,tvEpisode,C.E.D'oh,C.E.D'oh,0,2003,,30,"Animation,Comedy",7.3,817,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0795278,tt0096697,17,18,tvEpisode,The Wettest Stories Ever Told,The Wettest Stories Ever Told,0,2006,,30,"Animation,Comedy",6.9,819,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0781978,tt0096697,10,16,tvEpisode,Make Room for Lisa,Make Room for Lisa,0,1999,,30,"Animation,Comedy",7.6,1160,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0798764,tt0096697,17,19,tvEpisode,Girls Just Want to Have Sums,Girls Just Want to Have Sums,0,2006,,30,"Animation,Comedy",7.3,889,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0800707,tt0096697,17,21,tvEpisode,The Monkey Suit,The Monkey Suit,0,2006,,30,"Animation,Comedy",7.2,887,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0809050,tt0096697,17,22,tvEpisode,Homer and Marge Turn a Couple Play,Homer and Marge Turn a Couple Play,0,2006,,30,"Animation,Comedy",6.6,864,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt9652754,tt0096697,30,18,tvEpisode,Episode #30.18,Episode #30.18,0,2019,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0831239,tt0096697,18,1,tvEpisode,"The Mook, the Chef, the Wife and Her Homer","The Mook, the Chef, the Wife and Her Homer",0,2006,,21,"Animation,Comedy",7.5,1081,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0831240,tt0096697,18,4,tvEpisode,Treehouse of Horror XVII,Treehouse of Horror XVII,0,2006,,22,"Animation,Comedy",7,1055,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt9652748,tt0096697,30,17,tvEpisode,Episode #30.17,Episode #30.17,0,2019,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt9652746,tt0096697,30,16,tvEpisode,Episode #30.16,Episode #30.16,0,2019,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt9357650,tt0096697,30,15,tvEpisode,Episode #30.15,Episode #30.15,0,2019,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0858309,tt0096697,18,2,tvEpisode,Jazzy & The Pussycats,Jazzy & The Pussycats,0,2006,,30,"Animation,Comedy",6.7,961,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0858310,tt0096697,18,3,tvEpisode,"Please Homer, Don't Hammer 'Em","Please Homer, Don't Hammer 'Em",0,2006,,30,"Animation,Comedy",6.8,913,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0864054,tt0096697,18,5,tvEpisode,G.I. (Annoyed Grunt),G.I. (Annoyed Grunt),0,2006,,30,"Animation,Comedy",6.9,937,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt8733716,tt0096697,,,tvEpisode,I'm Just a Girl Who Can't Say D'oh,I'm Just a Girl Who Can't Say D'oh,0,,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt8733708,tt0096697,,,tvEpisode,Girl's in the Band,Girl's in the Band,0,,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt8733706,tt0096697,,,tvEpisode,Bart vs. Itchy & Scratchy,Bart vs. Itchy & Scratchy,0,,,,"Animation,Comedy",,,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0800706,tt0096697,17,20,tvEpisode,Regarding Margie,Regarding Margie,0,2006,,30,"Animation,Comedy",6.8,832,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0773651,tt0096697,4,18,tvEpisode,So It's Come to This: A Simpsons Clip Show,So It's Come to This: A Simpsons Clip Show,0,1993,,30,"Animation,Comedy",7.2,1593,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0781977,tt0096697,10,3,tvEpisode,Bart the Mother,Bart the Mother,0,1998,,23,"Animation,Comedy",7.6,1290,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0779680,tt0096697,7,13,tvEpisode,Two Bad Neighbors,Two Bad Neighbors,0,1996,,30,"Animation,Comedy",8.7,1778,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0776642,tt0096697,17,13,tvEpisode,The Seemingly Never-Ending Story,The Seemingly Never-Ending Story,0,2006,,30,"Animation,Comedy",7.6,960,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0777148,tt0096697,5,17,tvEpisode,Bart Gets an Elephant,Bart Gets an Elephant,0,1994,,30,"Animation,Comedy",7.9,1615,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0777149,tt0096697,5,18,tvEpisode,Burns' Heir,Burns' Heir,0,1994,,30,"Animation,Comedy",8.4,1635,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0777150,tt0096697,5,19,tvEpisode,Sweet Seymour Skinner's Baadasssss Song,Sweet Seymour Skinner's Baadasssss Song,0,1994,,30,"Animation,Comedy",8.5,1640,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778446,tt0096697,6,16,tvEpisode,Bart vs. Australia,Bart vs. Australia,0,1995,,30,"Animation,Comedy",8.5,1915,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778447,tt0096697,6,14,tvEpisode,Bart's Comet,Bart's Comet,0,1995,,30,"Animation,Comedy",8.7,1755,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778448,tt0096697,6,10,tvEpisode,Grampa vs. Sexual Inadequacy,Grampa vs. Sexual Inadequacy,0,1994,,30,"Animation,Comedy",8.1,1532,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778449,tt0096697,6,4,tvEpisode,Itchy & Scratchy Land,Itchy & Scratchy Land,0,1994,,30,"Animation,Comedy",8.6,1859,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778450,tt0096697,6,8,tvEpisode,Lisa on Ice,Lisa on Ice,0,1994,,30,"Animation,Comedy",8.5,1790,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778451,tt0096697,7,22,tvEpisode,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',0,1996,,30,"Animation,Comedy",8.4,1605,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778452,tt0096697,5,22,tvEpisode,Secrets of a Successful Marriage,Secrets of a Successful Marriage,0,1994,,30,"Animation,Comedy",8.1,1510,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778453,tt0096697,5,20,tvEpisode,The Boy Who Knew Too Much,The Boy Who Knew Too Much,0,1994,,30,"Animation,Comedy",8.3,1592,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778454,tt0096697,6,21,tvEpisode,The PTA Disbands,The PTA Disbands,0,1995,,30,"Animation,Comedy",8.2,1476,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0778455,tt0096697,6,23,tvEpisode,The Springfield Connection,The Springfield Connection,0,1995,,30,"Animation,Comedy",8.2,1487,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0780424,tt0096697,17,14,tvEpisode,Bart Has Two Mommies,Bart Has Two Mommies,0,2006,,30,"Animation,Comedy",7.1,837,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0779664,tt0096697,8,6,tvEpisode,A Milhouse Divided,A Milhouse Divided,0,1996,,30,"Animation,Comedy",8.1,1473,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0779666,tt0096697,8,19,tvEpisode,Grade School Confidential,Grade School Confidential,0,1997,,30,"Animation,Comedy",8.3,1447,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0779667,tt0096697,7,17,tvEpisode,Homer the Smithers,Homer the Smithers,0,1996,,30,"Animation,Comedy",8.9,2131,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0779668,tt0096697,9,17,tvEpisode,Lisa the Simpson,Lisa the Simpson,0,1998,,30,"Animation,Comedy",7.9,1386,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0779669,tt0096697,8,7,tvEpisode,Lisa's Date with Density,Lisa's Date with Density,0,1996,,30,"Animation,Comedy",7.9,1459,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0779670,tt0096697,9,24,tvEpisode,Lost Our Lisa,Lost Our Lisa,0,1998,,30,"Animation,Comedy",7.8,1243,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
