episode_id,series_id,seasonNumber,episodeNumber,titleType_episode,primaryTitle_episode,originalTitle_episode,isAdult_episode,startYear_episode,endYear_episode,runtimeMinutes_episode,genres_episode,averageRating,numVotes,Plot,Original_airDT,titleType_series,primaryTitle_series,originalTitle_series,isAdult_series,startYear_series,endYear_series,runtimeMinutes_series,genres_primary,genre_secondary,gener_third
tt0773646,tt0096697,5,16,tvEpisode,Homer Loves Flanders,Homer Loves Flanders,0,1994,,30,"Animation,Comedy",8.6,1720,"
 After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him.",3/17/1994,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0773647,tt0096697,4,3,tvEpisode,Homer the Heretic,Homer the Heretic,0,1992,,30,"Animation,Comedy",9,2452,"
 After skipping church one week, Homer decides that he is never going back. However, when a calamity occurs, it takes the combined efforts of a number of people from different faiths to save him.",10/8/1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0773648,tt0096697,4,15,tvEpisode,I Love Lisa,I Love Lisa,0,1993,,30,"Animation,Comedy",8.4,1831,"
 Feeling sorry for Ralph, Lisa sends him a Valentine card. Having developed a crush on her, Ralph invites Lisa to go see the Krusty the Clown show. She accepts but after Krusty asks them if they are boyfriend and girlfriend, Lisa lets Ralph know that she just wants them to be friends.",2/11/1993,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767446,tt0096697,11,16,tvEpisode,Pygmoelian,Pygmoelian,0,2000,,30,"Animation,Comedy",7.3,1070,"
 Plastic surgery not only transforms Moe the Bartender from ugly to hunky, it helps gets him a job on a hit daytime drama.",2/27/2000,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0773649,tt0096697,17,12,tvEpisode,My Fair Laddy,My Fair Laddy,0,2006,,30,"Animation,Comedy",6.5,879,"
 Bart and Lisa bets whether Lisa can turn Groundskeeper Willie into a proper gentleman.",2/26/2006,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763038,tt0096697,13,14,tvEpisode,Tales from the Public Domain,Tales from the Public Domain,0,2002,,30,"Animation,Comedy",7.3,942,"
 Homer reads three stories from an overdue library book; with Homer as Odysseus trying to get home to Ithaca, Lisa as Joan of Arc leading the French to Victory and Bart as Hamlet avenging his father's death.",3/17/2002,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763036,tt0096697,16,7,tvEpisode,Mommie Beerest,Mommie Beerest,0,2005,,30,"Animation,Comedy",6.9,797,"
 Homer gives Moe an enormous amount of money so he doesn't have to close down.",1/30/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt9652758,tt0096697,30,19,tvEpisode,Episode #30.19,Episode #30.19,0,2019,,,"Animation,Comedy",,,"
 Know what this is about?
 Be the first one to add a plot.
",3/31/2019,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0756398,tt0096697,1,8,tvEpisode,The Telltale Head,The Telltale Head,0,1990,,30,"Animation,Comedy",7.8,2264,"
 Bart gets more than he bargained for when he saws the head off a statue of the town's founder.",2/25/1990,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0756399,tt0096697,1,4,tvEpisode,There's No Disgrace Like Home,There's No Disgrace Like Home,0,1990,,30,"Animation,Comedy",7.8,2419,"
 After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.",1/28/1990,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0756593,tt0096697,1,2,tvEpisode,Bart the Genius,Bart the Genius,0,1990,,30,"Animation,Comedy",7.8,2797,"
 Bart ends up at a school for gifted children after cheating on an IQ test.",1/14/1990,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757016,tt0096697,6,13,tvEpisode,And Maggie Makes Three,And Maggie Makes Three,0,1995,,30,"Animation,Comedy",8.7,1910,"
 Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.",1/22/1995,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757017,tt0096697,2,10,tvEpisode,Bart Gets Hit by a Car,Bart Gets Hit by a Car,0,1991,,23,"Animation,Comedy",7.8,1944,"
 While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.",1/10/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757018,tt0096697,6,24,tvEpisode,Lemon of Troy,Lemon of Troy,0,1995,,30,"Animation,Comedy",8.7,1877,"
 When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back.",5/14/1995,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757019,tt0096697,17,5,tvEpisode,Marge's Son Poisoning,Marge's Son Poisoning,0,2005,,30,"Animation,Comedy",7,858,"
 Marge and Bart start spending more time together, and make a tradition of cycling to a tea house in a small village outside Springfield.",11/13/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757020,tt0096697,17,3,tvEpisode,Milhouse of Sand and Fog,Milhouse of Sand and Fog,0,2005,,30,"Animation,Comedy",7.1,838,"
 Maggie contracts the chicken pox and Homer gets the great idea to charge parents to get their own children sick by throwing a pox party, but his plan backfires.",9/25/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757021,tt0096697,8,13,tvEpisode,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,0,1997,,30,"Animation,Comedy",7.7,1544,"
 Marge is stressed from motherhood and hired a British nanny to help out around the house, and to everyone at Rosie, she teaches Bart and Lisa how to behave.",2/7/1997,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757022,tt0096697,16,10,tvEpisode,There's Something About Marrying,There's Something About Marrying,0,2005,,30,"Animation,Comedy",6.9,872,"
 A townsperson comes out of the closet when Springfield legalized same-sex marriages in a plot to bolsterwtourism; Homer uses the Internet to become a minister.",2/20/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0757023,tt0096697,2,4,tvEpisode,Two Cars in Every Garage and Three Eyes on Every Fish,Two Cars in Every Garage and Three Eyes on Every Fish,0,1990,,23,"Animation,Comedy",8.1,2092,"
 After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.",11/1/1990,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0758368,tt0096697,4,5,tvEpisode,Treehouse of Horror III,Treehouse of Horror III,0,1992,,30,"Animation,Comedy",8.5,1992,"
 An evil Krusty the Clown doll makes life hell for the Simpsons, Marge is captured by a giant ape who falls in love with her, and Bart inadvertently raises the dead.",10/29/1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0758509,tt0096697,17,11,tvEpisode,We're on the Road to D'ohwhere,We're on the Road to D'ohwhere,0,2006,,30,"Animation,Comedy",7.1,814,"
 When Homer is on his way to Vegas to meet up with his friends, he has to make a detour to take Bart to an education camp. Meanwhile, Marge has discovered a surprising source of income.",1/29/2006,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763037,tt0096697,9,25,tvEpisode,Natural Born Kissers,Natural Born Kissers,0,1998,,30,"Animation,Comedy",8.1,1319,"
 Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.",5/17/1998,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0759267,tt0096697,3,7,tvEpisode,Treehouse of Horror II,Treehouse of Horror II,0,1991,,30,"Animation,Comedy",8.3,1977,"
 The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.",10/31/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0762498,tt0096697,12,8,tvEpisode,Skinner's Sense of Snow,Skinner's Sense of Snow,0,2000,,30,"Animation,Comedy",8.1,1237,"
 A freak blizzard traps the students of Springfield Elementary inside their school. Their lives at stake, they are at the mercy of the rescue efforts of a woozy Homer and Ned.",12/17/2000,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763023,tt0096697,8,5,tvEpisode,Bart After Dark,Bart After Dark,0,1996,,30,"Animation,Comedy",8.3,1587,"
 Marge leads a crusade against a local burlesque house after she discovers Bart working there.",11/24/1996,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763024,tt0096697,2,1,tvEpisode,Bart Gets an F,Bart Gets an F,0,1990,,30,"Animation,Comedy",8.2,2378,"
 Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.",10/11/1990,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763025,tt0096697,7,4,tvEpisode,Bart Sells His Soul,Bart Sells His Soul,0,1995,,30,"Animation,Comedy",8.8,1963,"
 Bart casually sells his soul to Milhouse for five bucks but later regrets it. Moe converts his dank bar into a fun family restaurant.",10/8/1995,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763026,tt0096697,6,1,tvEpisode,Bart of Darkness,Bart of Darkness,0,1994,,30,"Animation,Comedy",8.7,1947,"
 After he breaks his leg and becomes confined to his room, Bart begins spying on the residents of Springfield with a telescope, and suspects Ned of murdering his wife.",9/4/1994,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763027,tt0096697,15,21,tvEpisode,Bart-Mangled Banner,Bart-Mangled Banner,0,2004,,30,"Animation,Comedy",6.3,895,"
 An accidental photo showing Bart mooning the American flag makes the Simpsons the most hated family in town.",5/16/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763028,tt0096697,13,15,tvEpisode,Blame It on Lisa,Blame It on Lisa,0,2002,,30,"Animation,Comedy",7.1,971,"
 Lisa sponsors an orphan in Brazil, and when he goes missing she convinces the family to go to Brazil to find him. While there, Homer is kidnapped.",3/31/2002,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763029,tt0096697,4,16,tvEpisode,Duffless,Duffless,0,1993,,30,"Animation,Comedy",8.4,1731,"
 After Homer is arrested for DUI, and loses his driver's license, he is put to the ultimate test when Marge pressures him to give up beer for a month.",2/18/1993,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763030,tt0096697,15,22,tvEpisode,Fraudcast News,Fraudcast News,0,2004,,30,"Animation,Comedy",7.3,840,"
 After Mr. Burns is erroneously reported as dead, he buys all of he media outlets in order to prevent them from writing scathing articles about him.",5/23/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763031,tt0096697,12,5,tvEpisode,Homer vs. Dignity,Homer vs. Dignity,0,2000,,30,"Animation,Comedy",7.2,1119,"
 Desperate for money, Homer accepts payment from Mr. Burns in exchange for humiliating himself.",11/26/2000,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763032,tt0096697,15,9,tvEpisode,"I, (Annoyed Grunt)-Bot","I, (Annoyed Grunt)-Bot",0,2004,,30,"Animation,Comedy",7.4,939,"
 Homer pretends to be a robot and competes in Robot Wars to win Bart's affection; Lisa has cat trouble.",1/11/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763033,tt0096697,5,21,tvEpisode,Lady Bouvier's Lover,Lady Bouvier's Lover,0,1994,,30,"Animation,Comedy",7.6,1450,"
 Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart.",5/12/1994,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763034,tt0096697,15,8,tvEpisode,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays","Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",0,2004,,30,"Animation,Comedy",6.8,861,"
 A concert for babies ends in a riot, so the childless adults of Springfield gather to make the town less child-friendly.",1/4/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763035,tt0096697,16,13,tvEpisode,Mobile Homer,Mobile Homer,0,2005,,30,"Animation,Comedy",6.9,806,"
 After a garage-cleaning accident, Marge wants Homer to get life insurance. Instead, the family gets an RV.",3/20/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0762497,tt0096697,12,9,tvEpisode,HOMR,HOMR,0,2001,,30,"Animation,Comedy",8.1,1286,"
 An x-ray reveals a crayon lodged in Homer's brain. After the crayon is removed, Homer experiences a sudden surge in intelligence, making him closer to Lisa and isolated from his friends.",1/7/2001,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0701298,tt0096697,8,2,tvEpisode,You Only Move Twice,You Only Move Twice,0,1996,,30,"Animation,Comedy",9.2,3395,"
 After moving to another town to begin a new job, Homer must decide whether or not he should stay when the rest of the family have a hard time with the transfer.",11/3/1996,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0773650,tt0096697,4,13,tvEpisode,Selma's Choice,Selma's Choice,0,1993,,30,"Animation,Comedy",8.1,1682,"
 Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind.",1/21/1993,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0774432,tt0096697,7,23,tvEpisode,Much Apu About Nothing,Much Apu About Nothing,0,1996,,30,"Animation,Comedy",8.1,1402,"
 Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.",5/5/1996,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0781979,tt0096697,10,17,tvEpisode,Maximum Homerdrive,Maximum Homerdrive,0,1999,,30,"Animation,Comedy",7.8,1228,"
 Homer completes a cross country delivery for a trucker who dies before completing it, and takes Bart along for the ride. Meanwhile, Marge and Lisa experience problems with a novelty doorbell they purchase.",3/28/1999,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0781980,tt0096697,10,18,tvEpisode,Simpsons Bible Stories,Simpsons Bible Stories,0,1999,,30,"Animation,Comedy",7.4,1241,"
 Three famous religious stories are retold Simpsons style as the family nods off at church.",4/4/1999,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0782576,tt0096697,17,9,tvEpisode,Simpsons Christmas Stories,Simpsons Christmas Stories,0,2005,,30,"Animation,Comedy",7,841,"
 Homer tells the tale of the first Christmas ever, while Grandpa pursues his decade-old feud with Santa.",12/18/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0784101,tt0096697,15,18,tvEpisode,Catch 'Em If You Can,Catch 'Em If You Can,0,2004,,30,"Animation,Comedy",7.1,905,"
 Homer and Marge try to have a vacation without the kids but Bart and Lisa follow them everywhere they go.",4/25/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0784540,tt0096697,15,11,tvEpisode,Margical History Tour,Margical History Tour,0,2004,,30,"Animation,Comedy",7.2,870,"
 Marge tells Lisa, Bart and Millhouse three history stories because the library doesn't have any.",2/8/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0784541,tt0096697,16,6,tvEpisode,Midnight Rx,Midnight Rx,0,2005,,30,"Animation,Comedy",7.1,839,"
 Homer goes to Canada with Apu and Ned to purchase Grampa's medication, but the three have problems getting home because the border guard thinks Apu is a terrorist.",1/16/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0784542,tt0096697,17,6,tvEpisode,See Homer Run,See Homer Run,0,2005,,30,"Animation,Comedy",7,830,"
 When a recall election puts Mayor Quimby's job up for grabs, Homer seizes the opportunity to win office and gain his daughter's love.",11/20/2005,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0784543,tt0096697,16,3,tvEpisode,Sleeping with the Enemy,Sleeping with the Enemy,0,2004,,30,"Animation,Comedy",7.2,876,"
 Because she thinks her own children do not appreciate her anymore, Marge becomes a mother figure for Nelson.",11/21/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0784544,tt0096697,14,21,tvEpisode,The Bart of War,The Bart of War,0,2003,,30,"Animation,Comedy",6.8,878,"
 Bart and Milhouse are forced into community service after destroying Flanders' memorial and join separate community groups, pitting themselves against each other.",5/18/2003,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0784545,tt0096697,15,20,tvEpisode,The Way We Weren't,The Way We Weren't,0,2004,,30,"Animation,Comedy",7.3,898,"
 Marge and Homer find out that they actually kissed each other at age 10 without knowing they were each other's first kisses, and tell the story about this.",5/9/2004,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0787753,tt0096697,17,16,tvEpisode,Million Dollar Abie,Million Dollar Abie,0,2006,,30,"Animation,Comedy",6.6,843,"
 After blowing Springfield's chances for an NFL franchise, Grandpa goes to an assisted-suicide center, then becomes a bullfighter.",4/2/2006,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
