,series_id,episode_id,plot,original_air_date
18,tt2861424,tt4832274,"
    Jerry is faced with the difficult decision of losing his manhood in order to save an alien leader from imminent death. Meanwhile, Rick, Morty and Summer explore the possibilities of interdimensional television.    ",2015-09-20
19,tt2861424,tt4832276,"
    Rick and Morty arrive on an alien planet to fix their ship just as the day of the purge begins there, Jerry and Summer work on their father-daughter relationship, but his lack of employment keeps coming up.    ",2015-09-27
20,tt2861424,tt4832278,"
    The Smith family is invited to the wedding of Rick's best friend, Birdperson. Things go south when it's discovered that the bride isn't who she says she is.    ",2015-10-04
21,tt2861424,tt5218228,"
    Rick, still in galactic prison, puts an intricate escape plan into action. Back on Earth, which is now under federation control, Morty and Summer have an argument about their grandpa.    ",2017-04-01
22,tt2861424,tt5218256,"
    With the kids dealing with their parents' divorce, Rick takes them to a Mad Max-style universe where he tries to steal a green crystal from a group of scavengers.    ",2017-07-30
23,tt2861424,tt5218268,"
    Rick turns himself into a pickle while Beth, Summer, and Morty go to family therapy.    ",2017-08-06
24,tt2861424,tt5218288,"
    Rick and Morty are summoned by the Vindicators to stop Worldender but end up in a deathtrap conceived by Drunk Rick.    ",2017-08-13
25,tt2861424,tt5218310,"
    Rick takes Jerry on a sympathy adventure to a resort where everyone is immortal when there, and Jerry meets some old acquaintances of Rick's who want payback.    ",2017-08-20
26,tt2861424,tt5218318,"
    Following a stressful adventure, Rick and Morty go on a break to a spa where they remove their toxins, which in turn take a form of their own.    ",2017-08-27
27,tt2861424,tt5218332,"
    Whilst Rick and Morty go off to adventure in Atlantis we take a look at how the Citadel has rebuilt itself since both Rick and Morty visited.    ",2017-09-10
28,tt2861424,tt5218350,"
    Rick reveals to Morty his ""Morty's mind blowers,"" a collection of memories Morty asked Rick to erase from his mind.    ",2017-09-17
29,tt2861424,tt5218370,"
    Rick brings Beth to a world he created for her when she was younger while Beth looks for a long-lost childhood friend trapped there for years.    ",2017-09-24
30,tt2861424,tt5218386,"
    Rick and Morty are called upon by the president to kill a vicious alien in the secret tunnels under the White House.    ",2017-10-01
31,tt2861424,tt7446798,"
    Plot is unknown at this time    ",
32,tt0101178,tt4533006,"
  Know what this is about?
 Be the first one to add a plot.
    ",
33,tt0101178,tt0786215,"
    Stimpy wins a competition that takes him to the Big-time in Hollywood. Ren, left at home, begins to miss Stimpy more than he ever would of thought. Will Stimpy, rich and successful, remember Ren and return home?    ",1991-08-11
34,tt0101178,tt0840176,"
    Ren Hoëk becomes ""Robin Hoëk"" in this parody of the Robin Hood legend. Stimpy, however, runs from scene to scene as he takes on the role of every other character. Next, stricken with an illness, Ren is brought back to health through Stimpy's unusual nursing practices. In some cases, the cure can be worse than the illness!    ",1991-08-18
35,tt0101178,tt0947465,"
    On their journey through space, Ren and Stimpy find that the true danger is ""Space Madness"", a cabin-crazy condition that Ren succumbs to. Next, in a sick tribute to classic animation, the two cook up a ploy to act as a rodent removal service. Ren becomes the mouse, and Stimpy as the cat. They take their services to suburbia with mixed results.    ",1991-08-25
36,tt0101178,tt0947463,"
    On the brink of starvation, and disguised as Dalmatians, the pair find employment at a fire station. Can these two handle an inferno at a towering skyscraper, with all of its exotic residents in need of rescue? Next, Stimpy, a little giant, and the brunt of the big giants' jokes, leaves home to find a happier life. What partnership will unfold when he meets Ren, a simple dairy farmer?    ",1991-09-15
37,tt0101178,tt0947464,"
    After a crash-landing on a strange planet, Commander Hoek and Cadet Stimpy go about cataloging and reporting on the strange planets inhabitants. But, before long, and quite unexpectedly, an inhabitant takes a very close look at them. Next, in kitsch documentary style, Ren narrates over some footage of curious flora and fauna. Finally, we are treated to a rare spotting of the Crocostimpy.    ",1991-12-15
38,tt0101178,tt0947462,"
    Commander Hoek and Cadet Stimpy are sucked into the hideous vortex of a black hole. Now as inhabitants on a new planet, and constantly mutating, the pair solve an age-old mystery after being tipped-off by a familiar smell. Next, Stimpy in his naive optimism, invents an emotion-controlling helmet. Ren, whether he likes it or not, is now the involuntary test-subject.    ",1991-12-29
39,tt0101178,tt0854003,"
    Ren and Stimpy join the Army, where they begin basic training under a very demanding Drill Sargent. We then follow the unusual and bizarre adventures of ""Powdered Toast Man"" as he is called on for various rescue missions.    ",1992-08-15
40,tt0101178,tt0953956,"
    Ren learns the benefits of dental hygiene the hard way, as he refuses to listen to Stimpy's advice on brushing your teeth. Then Ren and Stimpy are tossed in the pound, where they discover the true meaning of ""going to sleep"".    ",1992-08-22
41,tt0101178,tt0953955,"
    Ren and Stimpy find themselves amid the Wild West, where they run up against a Sheriff and Deputy who's favourite past-time is hanging people. They then hit the road as salesmen, going door-to-door to sell Rubber Nipples.    ",1992-10-10
42,tt0101178,tt0763768,"
    Ren is excited when his cousin, Svën, is coming over for a visit, until he finds out that Svën is an idiot just like Stimpy.    ",1992-11-07
43,tt0101178,tt0962466,"
    Convinced that wrestling is all an act, Mad Dog Höek (Ren) and Killer Kodoogan (Stimpy) are thrown into the wrestling ring for a bout against the enormous Lout Brothers, Lump and Loaf. Next, we see the Ren and Stimpy spend ""the next twelve minutes"" inside a mansion haunted by a shy, depressed and thoroughly non-scary Casper-like ghost.    ",1992-11-21
44,tt0101178,tt1066096,"
    Ren & Stimpy, starving, exploit the benefits of living as babies. Then, George Liquor American takes us the Dog Show, where Ren & Stimpy are pitted against some tough competition. But only George can handle the judge's harsh scrutiny.    ",1992-12-12
45,tt0101178,tt1011884,"
    One of Stimpy's bodily functions literally has a life of it's own in this episode. His flatulence becomes like the son he never had. Ghostlike and helpless, it wanders the streets looking for a home but finds the world harsh and careless. Grieving at his loss, and ceaselessly searching for his long lost ""Stinky"", Stimpy becomes a preoccupied and worried mess. Will the two meet again in a heart-warming reunion?    ",1992-12-19
46,tt0101178,tt0775318,"
    In another scheme to feed and shelter themselves for free, the pair approach a zoo keeper disguised as monkeys. Will they take on the habits of the crude, resident chimp, or is the simian lifestyle too grotesque even for Ren and Stimpy? Next, Ren acts adopts a huge, violent inmate as a son for the weekend. Can Stimpy keep Ren's short-tempered parenting style under control, or will the lumbering, childish step son (Kowalski) find a place in Ren's heart?    ",1993-02-27
47,tt0101178,tt1091090,"
    Camping at a lakeside wood, Ren and Stimpy go about making a pleasant camping trip. Faced with dehydrated food, mosquito squadrons and eccentric skinny dippers, the great outdoors shows that it has it's share of challenges for the pair. Next, Ren exploits Stimpy's hairball habit upon hearing the price of this rare commodity soar. A production line (featuring Kowalksi as a laborer) is where Ren extracts the over-priced and disgusting fur from his swiftly balding friend Stimpy.    ",1993-03-27
48,tt0101178,tt1091089,"
    Ren's jealousy drives him to distraction when day after day, the mailman dumps mountains of fan mail addressed to Stimpy only. Stimpy appeases Ren's feelings of worthlessness by appointing him president of the Official Stimpy Fan Club. Can Ren put his feelings aside in order to perform the delicate duties involved in receiving and replying to the inexhaustible stream of Stimpy's fan mail?    ",1993-04-24
49,tt0101178,tt0684949,"
    Ren and Stimpy visit a young fan at his home.    ",1993-05-08
50,tt0101178,tt1091091,"
    The pioneering spirit is abound in this re-telling of the colonization of the north American continent. With the motto ""We Always Get Our Butts Kicked!"", Ren and Stimpy set out across forests, deserts, mountains and vast snow fields atop lumbering yaks. Can they tap into the nation's vast natural resources to bring about prosperity?    ",1993-05-23
51,tt0101178,tt1143613,"
    Capitalising on Stimpy's idiocy, a door-to-door salesman makes a nuisance of himself as he continually appears in surprising places to pressure Stimpy to buy his Salve product. Next, Stimpy is worried when he discovers that he has no pants to wear, and embarks on a grand mission through city and country to attain some.    ",1993-11-20
52,tt0101178,tt1143611,"
    In a classic Hanna and Barbera tribute, Ren and Stimpy follow their noses to the ultimate free lunch: a dish of hog jowls cooling on a window-sill. Can they reach this treat, or will the resident baboon, napping in the yard, pose a mortal threat? Next, hitch-hiking in the middle of nowhere, the two are picked-up by a disturbing duo of maniacal midgets intent on causing chaos, crime and vaudevillian behavior.    ",1993-11-27
53,tt0101178,tt1011883,"
    The first half of this episode sees Ren, after a humiliating experience at the beach, electing to have some pectoral implants. Can Stimpy, his kind donor, keep up with Ren's new lifestyle? Next, the two respond to a job vacancy guarding the Lincoln memorial. Will they succeed, while under the watchful eye of a transvestite Army Officer, in finding a mythical treasure hidden inside the very statue they guard?    ",1993-12-18
54,tt0101178,tt1143612,"
    Stimpy draws an animated cartoon to show to his idol, Wilbur Cobb, while Ren serves as a producer on the project.    ",1994-01-08
55,tt0101178,tt0937980,"
    In this wildlife documentary, Ren and his stupid assistant observe the natural behavior of the rare animal called the Lummox. Actually an obese, ignorant, dim-witted and unhygienic human, these massive land-beasts exhibit playfulness, curiosity, rage and most intriguing of all, courtship. Which of the two competing ignoramuses underpants has what it takes to win over the female of the species?    ",1994-07-30
56,tt0101178,tt1144344,"
    Stimpy tries to remedy Ren's nasty behavior by introducing him to his conscience. Ren's conscience is played by the great guitar playing oaf, Jiminy Lummox.    ",1994-02-19
57,tt0101178,tt1144345,"
    Ren's feeling fine on his 10th birthday until Stimpy reminds him that he's 70 years old in ""dog years"". Ren prepares for death with a will, a fake funeral, and the search for the perfect coffin.    ",1994-04-02
58,tt0101178,tt0684952,"
    Stimpy becomes so obsessed with playing with his belly button that he ends up inside of it; Ren and Stinpy pretend to be roadkill in the desert.    ",1994-04-09
59,tt0101178,tt1144346,"
    TV star Haggis MacHaggis (voiced by Alan Young) is kicked out of his mansion and thrown out onto the streets after Ren and Stimpy's cartoon show becomes more popular than his. Just as he plans to end it all, Haggis enlists in the help of two thugs-for-hire who help him sabotage Ren and Stimpy's show.    ",1994-04-30
60,tt0101178,tt0684950,"
    Desperate to join the Barrette Beret Girls, Ren and Stimpy have to prove themselves to the burly babes. When Ren gets hold of Stimpy's cloning liquid, he splits into 2 Rens.    ",1994-06-04
61,tt0101178,tt1148098,"
    Stimpy's stupidity becomes too much for Ren and he leaves home to become a hermit. All alone, Ren begins to go crazy because he misses his true friend.    ",1994-10-01
62,tt0101178,tt1174517,"
    Ren and Stimpy spend some time in a flawed futuristic house; Ren and Stimpy have parasitic creatures living in their heads annoying Ren immensely.    ",1994-10-08
63,tt0101178,tt1174513,"
    Stimpy is becoming dangerously stupid. Ren is injected into Stimpy in a race against time to find the problem.When Ren & Stimpy try to collect money from their paper route, Pierre convinces them to grow up and get a man's job - lumberjacking.    ",1994-10-22
64,tt0101178,tt1174522,"
    Ren & Stimpy go to the Natural History Museum to see the skeletal remains of the mammoth Stimpysaurus. Wilbur Cobb tells them about the evolution of the great beast and says that even the meat-eating Renosaurus couldn't conquer the huge bumbling idiot.    ",1994-10-29
65,tt0101178,tt1174520,"
    Renwaldo sends Stimpleton on a food mission to trade their last chigger for some cheese. Stimpy meets a village idiot and trades his chigger for the magical golden singing cheeses.    ",1994-11-05
66,tt0101178,tt0684953,"
    In a deranged tribute to the ""I Love Lucy"" show, Stimpy lavishes affection on a store-bought oven-ready chicken. Next, Powdered-Toast Man and Waffle-Woman face off in a fight-to-the-death; the world hangs in the balance.    ",1994-11-19
67,tt0101178,tt1135430,"
    It's the 11th hour at the dog pound and Ren and Stimpy are about to take that last long walk. A sweet rich old lady falls for them and adopts them immediately.    ",1994-12-03
68,tt0101178,tt1174515,"
    This great star of a kiddy TV show is quickly overshadowed by the new cult hit ""The Ren & Stimpy Show."" The Scotsman kidnaps Ren & Stimpy in a rage.    ",1995-01-07
69,tt0101178,tt1174521,"
    Ren and Stimpy find themselves in elf and gnome world where everyone happily works to graduate Pixie status. Stimpy loves his new work, but Ren thinks it's too hard and everyone is too happy. Ren decides instead that he wants to become a pixie king.    ",1995-01-14
70,tt0101178,tt1174518,"
  Know what this is about?
 Be the first one to add a plot.
    ",1995-01-21
71,tt0101178,tt1174514,"
    Ren & Stimpy journey to the Blue-Cheese Mountains to become miners. After dealing with some savages, they finally reach the blessed mountains where they mine the cheese and dream of being rich.    ",1995-02-11
72,tt0101178,tt1174516,"
    Wilbur Cobb tells a campfire story about Galoot Wranglers. Ren and Stimpy play the part of the galoot wranglers.Ren goes crazy and is sent to a home. Here we see the whole cast of the Ren & Stimpy show has gone nuts.    ",1995-03-04
73,tt0101178,tt1174523,"
    Slap on your Happy Helmets with everyone?s favorite psychotic Chihuahua and stupid cat in these classic episodes.    ",1995-04-01
74,tt0101178,tt1135431,"
    Slap on your Happy Helmets with everyone?s favorite psychotic Chihuahua and stupid cat in these classic episodes.    ",1995-03-18
75,tt0101178,tt0684954,"
    Ren and Stimpy are going to be the first dog and cat sent up to space in the Russian space program.In the spirit of the Hatfields and McCoys, Ren and Stimpy present the Nitwits and the Dimwits.    ",1995-06-03
76,tt0101178,tt1179212,"
    Ren is suffering from horrible allergies. Little does he know that he may be allergic to his best pal Stimpy.    ",1995-07-01
77,tt0101178,tt0684955,"
    Ren and Stimpy find an abandoned circus clown at their doorstep. While Ren DOES NOT want to keep him, Stimpy pleads and begs until Ren agrees. Ren's status as Lord of the Manor is challenged.Stimpy the mad scientist replaces Ren's brain.    ",1995-10-07
78,tt0101178,tt1179211,"
    Ren and Stimpy get jobs as bellhops and must make sure that no one finds out who is living in the top two floors of the hotel, but their curiosity gets the best of them. Mark Hamill voices Mr. Noggin. / Ren is getting ready for the annual Dog Lodge meeting and Stimpy begs to come along (due to the fact that the lodge is for dogs only since he's a cat) in which Ren agrees to bring him to the Dog Lodge. However, this turns out to be a mistake by letting his feline friend to Dog Lodge and the two dogs refusing Ren to join in the lodge by thinking that he is some type of ...    ",1995-10-14
79,tt0101178,tt0825139,"
    Stimpy enters his teens; the pair's show is canceled.    ",1995-10-21
80,tt0101178,tt1179356,"
    Ren's old school friend visits; dinner etiquette Ren-and-Stimpy style.    ",1995-11-11
81,tt0101178,tt1135432,"
    Ren and Stimpy are snowed in. Stimpy amuses himself with watching dark TV, whistling in a bottle and other mundane activities.Ren and Stimpy are watching TV when they see the grand opening of a new jail where the prisoners are treated like kings.    ",1995-11-18
82,tt0101178,tt1179213,"
    Stimpy gets paranoid because he's used up eight of his lives and only has one left to live.Ren and Stimpy begin a job working for the Reverend Jack Cheese in his meat mobile.    ",1995-12-09
83,tt0101178,tt1163650,"
    Stimpy believes in Yaksmas, yet Ren who thinks Yaksmas is stupid, doesn't believe in the festive holiday.    ",1995-12-16
84,tt0101178,tt0684951,"
  Know what this is about?
 Be the first one to add a plot.
    ",1996-10-20
85,tt0105950,tt0809644,"
    Beavis and Butt-Head want money, so they donate their blood to a charity blood bank.    ",1993-03-08
86,tt0105950,tt0809646,"
    For a school project, Beavis and Butt-Head go door to door collecting money for the poor.    ",1993-03-08
87,tt0105950,tt0809647,"
    Mr. Van Driessen has Beavis and Butt-Head collect signatures for a petition to stop a furrier from operating in Highland.    ",1993-03-19
88,tt0105950,tt0809643,"
    Beavis and Butt-Head go to the aquarium with helium-filled balloons, hoping one of the dolphins there will swallow one of them and die.    ",1993-03-25
89,tt0105950,tt0814812,"
    At Burger World, Beavis and Butt-Head ignore and annoy their customers.    ",1993-05-20
90,tt0105950,tt0855290,"
    During a skeet shoot, Butt-Head takes down an airplane.    ",1993-06-30
91,tt0105950,tt0857497,"
    Beavis and Butt-Head are hired by Tom Anderson to paint his house.    ",1993-05-24
92,tt0105950,tt0855291,"
    Beavis and Butt-Head go to their nerdy acquaintance Stewart's house to watch a special pay-per-view event. When the pay-per-view bores them, they begin to torment Stewart.    ",1993-06-14
93,tt0105950,tt0849833,"
    Tantalized by a sexy yogurt advertisement on television, Beavis and Butt-Head decide they have to try some as soon as possible. Whey they get to the yogurt store they find the yogurt leaves a lot to be desired and the staff is less than sympathetic to their problems with it.    ",1993-06-28
94,tt0105950,tt0520541,"
    Beavis and Butt-Head are determined to get inside Babes R Us, an adult club where patrons get to wrestle with gorgeous women in the mud.    ",1993-06-23
95,tt0105950,tt0833008,"
    A female biker involves Beavis and Butt-Head in one of her crimes.    ",1993-07-14
96,tt0105950,tt0856362,"
    When Mrs. Dickie shows how unimpressed she is with Beavis and Butt-Head's science project, she forces them to work on a new project with Daria Morgendorffer, much to her objection.    ",1993-05-17
97,tt0105950,tt0854436,"
    The freak show is in town and Beavis and Butt-Head can't wait to check it out.    ",1993-05-19
98,tt0105950,tt0856360,"
    An army sergeant accosts Beavis and Butt-Head and tries to get them to sign up for the armed services. The duo's stupid, disrespectful and downright suicidal behavior makes him regret that decision.    ",1993-07-15
99,tt0105950,tt0849832,"
    Mr. Anderson agrees to let the boys wash his dog, with very predictable results.    ",1993-07-08
100,tt0105950,tt0854437,"
    Beavis and Butt-Head are hired by Tom Anderson to landscape his yard by pruning a tree.    ",1993-06-09
101,tt0105950,tt0844061,"
    A day in the working life of Beavis and Butt-head at the local Burger World franchise, where they fool around, annoy customers (especially Tom Anderson), and serve mouse-burgers and french flies.    ",1993-07-02
102,tt0105950,tt0856361,"
    Beavis and Butt-Head are doing community service for free when they decide to steal a cart that belongs to an undeniably obese man named Billy Bob.    ",1993-06-21
103,tt0105950,tt0861849,"
    Beavis & Butt-Head buy exotic animals at the mall with Mr. Anderson's stolen credit card.    ",1993-05-17
104,tt0105950,tt0857501,"
    Beavis and Butt-Head take a trip to Mexico and on their way back to the States they are questioned by border agents.    ",1993-05-26
105,tt0105950,tt0857495,"
    Mr. Van Driessen teaches Beavis and Butt-Head how to compose haiku poetry.    ",1993-06-17
106,tt0105950,tt0861838,"
    Beavis & Butt-Head harass the customers at a drive-in movie theater.    ",1993-05-19
107,tt0105950,tt0849827,"
    Beavis & Butt-Head are back at the drive-in movie theater, this time with plans of destruction and concession stand thievery.    ",1993-05-31
108,tt0105950,tt0857499,"
    When Beavis and Butt-Head are sick with the flu, they go to the doctor in hopes of getting prescribed mind-altering cold medicine.    ",1993-05-20
109,tt0105950,tt0827796,"
    When Principal McVicker gets fed up with Beavis and Butt-head's constant stupidity and uncontrollable laughter on every word that looks dirty to them for the final time, he puts them on a No Laughing prohibition. If caught laughing once more in class, they risk expulsion.    ",1993-06-02
110,tt0105950,tt0844060,"
    In order to prove having children aren't cute, Coach Buzzcut assigns the students together and makes Beavis and Butt-Head work together on their assignment as respect for the female classmates who adamantly refuses to work with either one.    ",1993-05-18
111,tt0105950,tt0844066,"
    Butt-Head daydreams that he and Beavis are rock stars during his shift at Burger World.    ",1993-06-07
112,tt0105950,tt0823565,"
    Beavis and Butt-Head try their hand at stand up comedy. It's a lot harder than it looks, folks.    ",1993-09-06
113,tt0105950,tt0823564,"
    A neighbor pays Beavis and Butt-Head to wash his classic car. They decide to dry the vehicle with a joyride.    ",1993-09-06
114,tt0105950,tt0857493,"
    Beavis and Butt-Head create a dangerous and illegal hobby with a fishing pole and the junk found deep in the cracks of their sofa.    ",1993-09-07
115,tt0105950,tt0844063,"
    Beavis and Butt-Head kidnap Stewart so they can get ransom money to go to a concert.    ",1993-09-08
116,tt0105950,tt0844065,"
    Beavis and Butt-Head try to score by going to a nudist colony, but lack the $4,000 membership fee for joining. So naturally, they try to sneak in.    ",1993-09-13
117,tt0105950,tt0844067,"
    Beavis and Butt-Head bike to a trailer park to check out a tornado.    ",1993-09-15
118,tt0105950,tt0844062,"
    So they won't get killed by a gang member they angered at school, Beavis and Butt-Head assume new identities.    ",1993-09-09
119,tt0105950,tt0857491,"
    Mr. Van Driessen tries to teach Beavis and Butt-Head the value and importance of work by paying them to clean his house.    ",1993-09-22
120,tt0105950,tt0857498,"
    Beavis and Butt-Head use the dollar they were bribed to get the hell away from a popular girl at school to play the lottery.    ",1993-09-20
121,tt0105950,tt0849829,"
    Principal McVicker sends Beavis and Butt-Head to prison on a Scared Straight program, due to their extreme misbehaviors on their files.    ",1993-09-27
122,tt0105950,tt0849830,"
    Beavis and Butt-Head decide to visit a sperm bank after seeing one on TV. They destroy all of the bank's on-hand supply, and are asked to sell their own sperm without having to pass the required examinations.    ",1993-10-01
123,tt0105950,tt0520544,"
    Principal McVicker tries to keep Beavis and Butt-Head away from Highland High during President Clinton's visit to the school.    ",1993-10-18
124,tt0105950,tt0859221,"
    Various crime documentary television shows report on Beavis and Butt-Head's theft of money from a cash machine.    ",1993-11-01
125,tt0105950,tt0857500,"
    Butt-Head must defend himself and Beavis in court after both are charged with vandalizing Anderson's property.    ",1993-11-04
126,tt0105950,tt0857487,"
    Beavis and Butt-Head go to the bowling alley, steal Tom Anderson's bowling ball, and then have fun attempting to destroy it.    ",1993-10-25
127,tt0105950,tt0857489,"
    Beavis and Butt-Head are so muscularly atrophied that they are forced to stay after gym class for a personal workout with Coach Buzzcut.    ",1993-10-14
128,tt0105950,tt0857490,"
    Mr. Van Driessen takes Stewart, Beavis and Butt-Head on a therapeutic camping trip, where disaster strikes.    ",1993-11-15
129,tt0105950,tt0854439,"
    Beavis and Butt-Head become infatuated with a bully named Todd and attempt to join his gang.    ",1993-11-08
130,tt0105950,tt0857494,"
    Beavis and Butt-Head enter a bratwurst eating contest in the hopes of winning a car. Unfortunately, they don't realize that there is an entry fee involved.    ",1993-09-30
131,tt0105950,tt0857496,"
    Beavis and Butt-Head befriend, and influence, a foreign exchange student from Japan.    ",1993-12-09
132,tt0105950,tt0857488,"
    The titular duo decide to go hitchhiking and are picked up by a religious cult who takes them to meet ""God"", their leader.    ",1993-10-28
133,tt0105950,tt0857502,"
    Mistaken for geniuses, Beavis and Butt-Head are placed in advanced classes at Highland High.    ",1993-11-25
134,tt0105950,tt0797160,"
    Mrs. Stevenson's nearly indestructible antique plate provides great entertainment to Beavis and Butt-Head.    ",1993-11-11
135,tt0105950,tt0849828,"
    Mr. Van Driessen encourages Beavis and Butt-Head to conduct a political campaign for Treasurer of their class.    ",1993-10-21
136,tt0105950,tt0849831,"
    Beavis and Butt-Head must purchase ""groinal protection"" cups for physical education class.    ",1993-10-04
137,tt0105950,tt0857492,"
    Beavis and Butt-Head must deal with a health inspector after making a gigantic mess at Burger World.    ",1993-12-23
138,tt0105950,tt0857486,"
  Know what this is about?
 Be the first one to add a plot.
    ",1993-12-17
139,tt0105950,tt0854438,"
    An escaped mental patient hides from the authorities at Butt-Head's house.    ",1994-03-05
140,tt0105950,tt0823569,"
    Beavis and Butt-Head contribute in their own special way to a student art display at the mall.    ",1994-03-14
141,tt0105950,tt0827795,"
    After the duo watches a milk commercial, they set off in an attempt to tip over a cow. However, the cow ends up crushing Beavis.    ",1994-03-15
142,tt0105950,tt0861877,"
    Beavis and Butt-Head forget how to urinate and enlist Coach Buzzcut to help them remember.    ",1994-03-17
143,tt0105950,tt0861864,"
    Beavis is bitten by a dog and ends up having to go to hospital for rabies injections.    ",1994-03-18
144,tt0105950,tt0837237,"
    Beavis and Butt-Head are forced to see the school psychiatrist after goofing off in class.    ",1994-03-21
145,tt0105950,tt0861853,"
    Beavis and Butt-Head encounter a suicidal banker.    ",1994-03-24
146,tt0105950,tt0861863,"
    Beavis and Butthead join a gym.    ",1994-03-28
147,tt0105950,tt0861854,"
    When the foul-smelling Beavis and Butt-Head are sent to the nurse's office, they meet the psychedelic Dreama and fall in love with her.    ",1994-03-31
148,tt0105950,tt0844059,"
    Beavis and Butt-Head discover the joys of a phone sex hotline.    ",1994-04-04
149,tt0105950,tt0850730,"
    Beavis and Butthead are taught water safety.    ",1994-04-07
150,tt0105950,tt0823562,"
    During a city-wide blackout, Beavis and Butthead go out looking for a TV they can watch.    ",1994-04-11
151,tt0105950,tt0520546,"
    Beavis and Butt-Head attempt to do their own version of David Letterman's late night talk show for a school project.    ",1994-04-14
152,tt0105950,tt0861875,"
    Beavis finds himself at the gates of Heaven during a near-death experience.    ",1994-04-18
153,tt0105950,tt0861860,"
    Beavis and Butt-Head are hired by Tom Anderson to pave the cement foundation for his swimming pool.    ",1994-04-21
154,tt0105950,tt0844064,"
    Beavis and Butthead see a fortune teller.    ",1994-04-25
155,tt0105950,tt0837234,"
    While picking up change from an empty store fountain, the duo winds up ""trapped"" on the pool's plastic island.    ",1994-04-28
156,tt0105950,tt0861847,"
    At an orientation course, the duo joins a figure drawing class in hopes of seeing naked women.    ",1994-05-02
157,tt0105950,tt0861844,"
    Lolita and Tanqueray trick Beavis and Butt-Head into giving them their movie tickets by feigning romantic interest in them.    ",1994-05-05
158,tt0105950,tt0861840,"
    Beavis and Butt-Head go on a school trip to the art museum.    ",1994-05-09
159,tt0105950,tt0861865,"
    A right-wing talk show host invites Beavis and Butt-head on his show, mistaking them for two bright young men.    ",1994-05-12
160,tt0105950,tt0814813,"
    A guest speaker tries to educate the students in Van Driessen's class about the importance of manners and finds himself in over his head when dealing with Beavis and Butt-Head.    ",1994-05-21
161,tt0105950,tt0760206,"
    Beavis and Butthead are exploring a construction site, when Butthead starts to crawl inside of pipe and gets stuck.    ",1994-05-21
162,tt0105950,tt0837236,"
    Beavis and Butt-Head participate in a Driver's Education class headed by Coach Buzzcut.    ",1994-07-11
163,tt0105950,tt0837235,"
    Beavis and Butthead harass Mr. Anderson at the golf course.    ",1994-07-11
164,tt0105950,tt0861858,"
    Beavis and Butthead pay a visit to the medical clinic.    ",1994-07-12
165,tt0105950,tt0861874,"
    Principal McVicker forces Beavis and Butthead to own up to a prank on live television.    ",1994-07-12
166,tt0105950,tt0861843,"
    Beavis and Butt-Head are given positions as teen crisis phone counselors at their school and arrange to have sex with one of the students who calls them.    ",1994-07-13
167,tt0105950,tt0861837,"
    After a vending machine rips them off, Beavis and Butthead attempt to get their money back.    ",1994-07-13
